iter	RMSE
0	17.88280996
1	17.7849285
2	17.68430465
3	17.5840703
4	17.48493089
5	17.38761313
6	17.2921417
7	17.20448724
8	17.11526935
9	17.02726817
10	16.93653279
11	16.8519298
12	16.76425805
13	16.67553636
14	16.59137766
15	16.50709603
16	16.42051414
17	16.33364462
18	16.25095295
19	16.16865302
20	16.08882404
21	16.00917139
22	15.93266579
23	15.85117079
24	15.7741635
25	15.69912064
26	15.62533156
27	15.55125854
28	15.48096008
29	15.40754207
30	15.33917726
31	15.26834773
32	15.19511915
33	15.12647543
34	15.05854534
35	14.98747898
36	14.92043201
37	14.85191868
38	14.78780051
39	14.71978062
40	14.65798463
41	14.59293096
42	14.52928936
43	14.46519029
44	14.40517818
45	14.34221587
46	14.28241807
47	14.22252034
48	14.16190578
49	14.10834299
50	14.05136627
51	13.99506285
52	13.93821469
53	13.88056469
54	13.82619937
55	13.77356607
56	13.72002991
57	13.67020937
58	13.61676109
59	13.56477828
60	13.51561248
61	13.4660268
62	13.41385324
63	13.3682787
64	13.3193578
65	13.27124857
66	13.22537058
67	13.17721379
68	13.12935543
69	13.08248819
70	13.03786598
71	12.99175177
72	12.94559172
73	12.90038647
74	12.85582624
75	12.81226343
76	12.76847421
77	12.72565792
78	12.68369813
79	12.64307867
80	12.60325016
81	12.56308078
82	12.52256464
83	12.48343101
84	12.44568857
85	12.40601877
86	12.36830395
87	12.32965211
88	12.2913535
89	12.25413798
90	12.21634611
91	12.17936082
92	12.14314043
93	12.10837293
94	12.07346103
95	12.03798902
96	12.00288619
97	11.96868129
98	11.93551
99	11.90334769
100	11.87224078
101	11.84012991
102	11.80825837
103	11.77583928
104	11.741848
105	11.71114165
106	11.68032305
107	11.64894903
108	11.61724351
109	11.58789026
110	11.56024052
111	11.5303986
112	11.50428056
113	11.47737205
114	11.45048696
115	11.42247929
116	11.39549672
117	11.36980475
118	11.34156376
119	11.31544695
120	11.29098476
121	11.26741786
122	11.24283055
123	11.21793603
124	11.19363567
125	11.16968219
126	11.14796118
127	11.12414121
128	11.10103481
129	11.0786255
130	11.05526323
131	11.03400479
132	11.01091368
133	10.98673393
134	10.96523406
135	10.94379593
136	10.92347608
137	10.9016328
138	10.88089436
139	10.86141844
140	10.84024031
141	10.81975376
142	10.79899692
143	10.77906495
144	10.75990225
145	10.73971002
146	10.71925242
147	10.69635248
148	10.67893149
149	10.66159321
150	10.64386312
151	10.62649579
152	10.60922265
153	10.59230994
154	10.57322323
155	10.55378532
156	10.53577715
157	10.51823392
158	10.50202606
159	10.48628165
160	10.4715741
161	10.45556668
162	10.44014936
163	10.42528812
164	10.40865664
165	10.39097892
166	10.37410763
167	10.35668174
168	10.34174493
169	10.32635902
170	10.30846912
171	10.29455288
172	10.27910237
173	10.26600316
174	10.25046042
175	10.23457491
176	10.22112651
177	10.20725257
178	10.19356093
179	10.17906641
180	10.16601192
181	10.1536878
182	10.13893421
183	10.12557603
184	10.11281885
185	10.09838174
186	10.08659437
187	10.0753836
188	10.05966306
189	10.04770009
190	10.03433802
191	10.02324295
192	10.00952014
193	9.998078976
194	9.98499406
195	9.972121503
196	9.961749344
197	9.949224201
198	9.936672107
199	9.924724362
200	9.912260947
201	9.901709778
202	9.890349598
203	9.881172518
204	9.87125116
205	9.861191542
206	9.850057979
207	9.840256788
208	9.828794361
209	9.817509251
210	9.805492102
211	9.79589641
212	9.786572699
213	9.775818589
214	9.7644854
215	9.754862894
216	9.743028787
217	9.733700335
218	9.723034739
219	9.714946794
220	9.706170447
221	9.698986408
222	9.690868634
223	9.68249295
224	9.673213281
225	9.663814524
226	9.657333844
227	9.648731075
228	9.639616837
229	9.632057942
230	9.62529522
231	9.615056014
232	9.607150435
233	9.599586925
234	9.591688824
235	9.584329431
236	9.577110492
237	9.566380408
238	9.558306204
239	9.55026558
240	9.542594718
241	9.534277116
242	9.525278295
243	9.516133366
244	9.505710424
245	9.499720054
246	9.493347997
247	9.486222149
248	9.477712683
249	9.467977643
250	9.46194718
251	9.453416178
252	9.446347638
253	9.440662793
254	9.434306984
255	9.427991369
256	9.422188915
257	9.412952182
258	9.405328398
259	9.400057481
260	9.394229189
261	9.387632138
262	9.381901452
263	9.375120299
264	9.366381692
265	9.360583084
266	9.35320152
267	9.345761387
268	9.337512419
269	9.332201243
270	9.324908052
271	9.318564921
272	9.312785916
273	9.304882451
274	9.299763082
275	9.294464682
276	9.28903253
277	9.284051449
278	9.277359725
279	9.270429822
280	9.266275823
281	9.262286235
282	9.257483603
283	9.252630712
284	9.248015345
285	9.243128908
286	9.238993772
287	9.234043289
288	9.229112093
289	9.224680178
290	9.218214772
291	9.213332737
292	9.207138012
293	9.203207889
294	9.197146601
295	9.191262454
296	9.187285907
297	9.182987349
298	9.179258436
299	9.173814453
300	9.167552269
301	9.164266371
302	9.160418097
303	9.154693437
304	9.149430836
305	9.143778963
306	9.140074132
307	9.136598778
308	9.13006703
309	9.124837223
310	9.119468104
311	9.113720375
312	9.10891291
313	9.104272669
314	9.098050316
315	9.09158288
316	9.086699024
317	9.080981701
318	9.077475133
319	9.07325748
320	9.066549595
321	9.061573588
322	9.055526809
323	9.051538922
324	9.047954381
325	9.042027969
326	9.03836833
327	9.035034302
328	9.029877931
329	9.02393681
330	9.018951884
331	9.013975323
332	9.008653955
333	9.00573281
334	9.001382673
335	8.998634387
336	8.994717838
337	8.988843225
338	8.984851107
339	8.980712836
340	8.976198306
341	8.972989238
342	8.969445549
343	8.966573341
344	8.96357645
345	8.960683237
346	8.957501367
347	8.952629318
348	8.949251557
349	8.946768289
350	8.942839287
351	8.940059603
352	8.935729945
353	8.932517953
354	8.928964377
355	8.926448294
356	8.922649765
357	8.917486346
358	8.91380665
359	8.90932121
360	8.905833772
361	8.903319639
362	8.898550595
363	8.896084828
364	8.893093005
365	8.890753546
366	8.887724102
367	8.884751526
368	8.883015888
369	8.877867636
370	8.875494556
371	8.871278497
372	8.868950532
373	8.86450491
374	8.861734907
375	8.856350232
376	8.853350013
377	8.849539931
378	8.846261892
379	8.842304489
380	8.838350125
381	8.835945032
382	8.833711443
383	8.831478359
384	8.827748306
385	8.824119012
386	8.820809531
387	8.817137266
388	8.813364348
389	8.810285487
390	8.807566929
391	8.80297088
392	8.800155574
393	8.796967303
394	8.794283273
395	8.791385671
396	8.789389839
397	8.787275405
398	8.783989722
399	8.780897863
400	8.777819602
401	8.775106724
402	8.772387721
403	8.769419811
404	8.768059827
405	8.76632609
406	8.762284311
407	8.760556112
408	8.756481028
409	8.753937763
410	8.751505355
411	8.748789973
412	8.745572087
413	8.743581639
414	8.741774406
415	8.739218322
416	8.735723461
417	8.734002857
418	8.730829166
419	8.727420201
420	8.7255677
421	8.723405219
422	8.721991708
423	8.718963632
424	8.716910992
425	8.713270842
426	8.709357906
427	8.70625824
428	8.70402989
429	8.701711525
430	8.698245241
431	8.695521468
432	8.693067607
433	8.689956079
434	8.688069367
435	8.68671693
436	8.684817403
437	8.682621027
438	8.679608725
439	8.677809908
440	8.675268603
441	8.671815866
442	8.669683134
443	8.667849785
