datetime,일사량(w/m^2)_예측,습도(%)_예측,절대습도_예측,기온(degC)_예측,습도(%)_관측,기온(degC)_관측,대기압(mmHg)_관측,대기압(mmHg)_예측
2024-01-01 00:00:00,0.0,57.061,0.004,0.803,85.23,3.82,764.46793,756.4481028742
2024-01-01 01:00:00,0.0,58.348,0.004,1.141,86.75,3.76,764.68855,756.9264924178
2024-01-01 02:00:00,0.0,58.897,0.004,1.417,86.43,3.04,765.05595,757.2375806323
2024-01-01 03:00:00,0.0,58.438,0.004,1.498,90.6,1.99,765.42151,757.4910640851999
2024-01-01 04:00:00,0.0,58.286,0.004,1.172,92.59,1.25,765.61559,757.59439262632
2024-01-01 05:00:00,0.0,58.146,0.004,0.798,94.59,0.9,765.71106,757.79106638334
2024-01-01 06:00:00,0.0,57.977,0.004,0.151,96.9,0.96,766.05343,757.9793544472001
2024-01-01 07:00:00,0.0,58.165,0.004,0.584,97.76,1.02,766.31235,758.3228453401
2024-01-01 08:00:00,13.606,58.221,0.004,1.114,97.49,0.94,766.58237,758.70611952148
2024-01-01 09:00:00,90.274,56.252,0.004,1.957,97.44,0.95,766.87975,759.066869341
2024-01-01 10:00:00,196.559,53.614,0.004,4.012,96.37,1.17,767.10126,759.18955698234
2024-01-01 11:00:00,323.784,49.063,0.004,6.422,92.29,2.27,766.80554,759.0328915324
2024-01-01 12:00:00,406.362,44.836,0.004,8.701,87.19,3.37,766.07193,758.671961698
2024-01-01 13:00:00,400.21,40.803,0.004,8.543,79.48,4.77,765.18644,758.1622195628
2024-01-01 14:00:00,341.943,39.686,0.004,8.206,71.55,6.18,764.78985,757.8345549781001
2024-01-01 15:00:00,232.582,37.836,0.004,7.361,59.93,7.38,764.47833,757.6231875065
2024-01-01 16:00:00,118.31,39.139,0.004,6.191,58.71,7.54,764.17004,757.542743357
2024-01-01 17:00:00,28.275,47.112,0.004,4.525,60.8,7.25,764.06865,757.4126826062001
2024-01-01 18:00:00,0.0,47.851,0.004,3.188,66.4,6.68,763.88045,757.3101866339
2024-01-01 19:00:00,0.0,49.699,0.004,3.038,70.28,6.02,763.82307,757.1494108442
2024-01-01 20:00:00,0.0,49.094,0.004,2.849,72.51,5.49,763.79826,757.0534779144
2024-01-01 21:00:00,0.0,48.927,0.004,2.719,74.92,5.29,763.86446,757.0234754344
2024-01-01 22:00:00,0.0,50.936,0.004,2.792,76.57,5.28,763.98609,756.8390351886001
2024-01-01 23:00:00,0.0,53.171,0.004,2.857,78.82,5.17,763.78314,756.6725589277
2024-01-02 00:00:00,0.0,54.9,0.004,2.66,80.69,4.75,763.39853,756.51713858068
2024-01-02 01:00:00,0.0,55.342,0.004,2.628,80.89,4.68,763.23228,756.3114415778
2024-01-02 02:00:00,0.0,55.905,0.004,2.482,78.88,4.91,763.09997,756.0884106421
2024-01-02 03:00:00,0.0,57.363,0.004,2.219,75.98,5.01,762.8833,755.9011576638
2024-01-02 04:00:00,0.0,57.57,0.004,2.356,77.26,4.84,762.65575,755.5606295158001
2024-01-02 05:00:00,0.0,55.849,0.004,2.291,77.12,4.76,762.26671,755.2976952817
