datetime,일사량(w/m^2)_예측,습도(%)_예측,절대습도_예측,기온(degC)_예측,대기압(mmHg)_예측,hour,month,weekday,일사량x기온,습도x기온,일사량x절대습도,humidity_lag_1h,humidity_lag_3h,humidity_lag_6h,humidity_lag_12h,humidity_lag_24h,습도(%)_관측,기온(degC)_관측,대기압(mmHg)_관측
2024-01-02 00:00:00,0.0,54.9,0.004,2.66,756.51713858068,0,1,1,0.0,146.034,0.0,53.171,48.927,47.851,44.836,57.061,80.69,4.75,763.39853
2024-01-02 01:00:00,0.0,55.342,0.004,2.628,756.3114415778,1,1,1,0.0,145.438776,0.0,54.9,50.936,49.699,40.803,58.348,80.89,4.68,763.23228
2024-01-02 02:00:00,0.0,55.905,0.004,2.482,756.0884106421,2,1,1,0.0,138.75621,0.0,55.342,53.171,49.094,39.686,58.897,78.88,4.91,763.09997
2024-01-02 03:00:00,0.0,57.363,0.004,2.219,755.9011576638,3,1,1,0.0,127.28849699999999,0.0,55.905,54.9,48.927,37.836,58.438,75.98,5.01,762.8833
2024-01-02 04:00:00,0.0,57.57,0.004,2.356,755.5606295158001,4,1,1,0.0,135.63492,0.0,57.363,55.342,50.936,39.139,58.286,77.26,4.84,762.65575
2024-01-02 05:00:00,0.0,55.849,0.004,2.291,755.2976952817,5,1,1,0.0,127.95005899999998,0.0,57.57,55.905,53.171,47.112,58.146,77.12,4.76,762.26671
2024-01-02 06:00:00,0.0,57.957,0.004,2.098,755.1769728028,6,1,1,0.0,121.593786,0.0,55.849,57.363,54.9,47.851,57.977,79.99,4.47,762.11915
2024-01-02 07:00:00,0.0,59.678,0.004,2.514,755.1835733484,7,1,1,0.0,150.03049199999998,0.0,57.957,57.57,55.342,49.699,58.165,82.48,4.22,762.15314
2024-01-02 08:00:00,12.347,61.158,0.004,2.824,755.2735057822,8,1,1,34.867928,172.710192,0.049388,59.678,55.849,55.905,49.094,58.221,84.77,4.11,762.0328
2024-01-02 09:00:00,53.99,60.819,0.004,3.515,755.3058334544,9,1,1,189.77485000000001,213.77878500000003,0.21596,61.158,57.957,57.363,48.927,56.252,84.79,4.24,762.34547
2024-01-02 10:00:00,92.404,58.608,0.004,4.342,755.1024391418599,10,1,1,401.21816799999993,254.47593599999996,0.369616,60.819,59.678,57.57,50.936,53.614,79.99,4.94,762.27074
2024-01-02 11:00:00,123.571,56.145,0.004,5.257,754.767138926,11,1,1,649.6127469999999,295.154265,0.494284,58.608,61.158,55.849,53.171,49.063,76.93,5.56,761.69065
2024-01-02 12:00:00,164.692,53.057,0.004,5.96,754.3348481929199,12,1,1,981.5643200000001,316.21972,0.658768,56.145,60.819,57.957,54.9,44.836,70.59,6.41,761.13899
2024-01-02 13:00:00,190.936,50.371,0.004,5.843,753.8517257581,13,1,1,1115.639048,294.31775300000004,0.7637440000000001,53.057,58.608,59.678,55.342,40.803,67.45,6.83,760.75108
2024-01-02 14:00:00,219.904,47.76,0.004,6.582,753.49501127214,14,1,1,1447.408128,314.35632,0.879616,50.371,56.145,61.158,55.905,39.686,62.78,7.13,760.57364
2024-01-02 15:00:00,158.263,46.105,0.004,5.847,753.23703494786,15,1,1,925.3637610000001,269.575935,0.6330520000000001,47.76,53.057,60.819,57.363,37.836,62.43,6.96,760.43888
2024-01-02 16:00:00,99.349,45.915,0.004,4.795,753.2086976055,16,1,1,476.37845500000003,220.16242499999998,0.397396,46.105,50.371,58.608,57.57,39.139,61.33,6.62,760.43924
2024-01-02 17:00:00,22.78,52.575,0.004,3.521,753.1637313886,17,1,1,80.20838,185.116575,0.09112,45.915,47.76,56.145,55.849,47.112,65.19,5.84,760.57476
2024-01-02 18:00:00,0.0,54.135,0.004,2.542,753.1743072628,18,1,1,0.0,137.61117,0.0,52.575,46.105,53.057,57.957,47.851,69.89,4.97,760.58678
2024-01-02 19:00:00,0.0,53.938,0.004,2.524,753.23851257,19,1,1,0.0,136.139512,0.0,54.135,45.915,50.371,59.678,49.699,71.32,4.39,760.61035
2024-01-02 20:00:00,0.0,55.288,0.004,2.041,753.2232113052,20,1,1,0.0,112.84280799999999,0.0,53.938,52.575,47.76,61.158,49.094,71.01,3.84,760.61497
