기상관측일시,습도(%),기온(degC),대기압(mmHg)
2024-01-01 0:00,85.23,3.82,764.46793
2024-01-01 1:00,86.75,3.76,764.68855
2024-01-01 2:00,86.43,3.04,765.05595
2024-01-01 3:00,90.60,1.99,765.42151
2024-01-01 4:00,92.59,1.25,765.61559
2024-01-01 5:00,94.59,0.90,765.71106
2024-01-01 6:00,96.90,0.96,766.05343
2024-01-01 7:00,97.76,1.02,766.31235
2024-01-01 8:00,97.49,0.94,766.58237
2024-01-01 9:00,97.44,0.95,766.87975
2024-01-01 10:00,96.37,1.17,767.10126
2024-01-01 11:00,92.29,2.27,766.80554
2024-01-01 12:00,87.19,3.37,766.07193
2024-01-01 13:00,79.48,4.77,765.18644
2024-01-01 14:00,71.55,6.18,764.78985
2024-01-01 15:00,59.93,7.38,764.47833
2024-01-01 16:00,58.71,7.54,764.17004
2024-01-01 17:00,60.80,7.25,764.06865
2024-01-01 18:00,66.40,6.68,763.88045
2024-01-01 19:00,70.28,6.02,763.82307
2024-01-01 20:00,72.51,5.49,763.79826
2024-01-01 21:00,74.92,5.29,763.86446
2024-01-01 22:00,76.57,5.28,763.98609
2024-01-01 23:00,78.82,5.17,763.78314
2024-01-02 0:00,80.69,4.75,763.39853
2024-01-02 1:00,80.89,4.68,763.23228
2024-01-02 2:00,78.88,4.91,763.09997
2024-01-02 3:00,75.98,5.01,762.88330
2024-01-02 4:00,77.26,4.84,762.65575
2024-01-02 5:00,77.12,4.76,762.26671
2024-01-02 6:00,79.99,4.47,762.11915
2024-01-02 7:00,82.48,4.22,762.15314
2024-01-02 8:00,84.77,4.11,762.03280
2024-01-02 9:00,84.79,4.24,762.34547
2024-01-02 10:00,79.99,4.94,762.27074
2024-01-02 11:00,76.93,5.56,761.69065
2024-01-02 12:00,70.59,6.41,761.13899
2024-01-02 13:00,67.45,6.83,760.75108
2024-01-02 14:00,62.78,7.13,760.57364
2024-01-02 15:00,62.43,6.96,760.43888
2024-01-02 16:00,61.33,6.62,760.43924
2024-01-02 17:00,65.19,5.84,760.57476
2024-01-02 18:00,69.89,4.97,760.58678
2024-01-02 19:00,71.32,4.39,760.61035
2024-01-02 20:00,71.01,3.84,760.61497
2024-01-02 21:00,76.25,3.29,760.48130
2024-01-02 22:00,80.36,2.72,760.27796
2024-01-02 23:00,83.17,2.17,760.37510
2024-01-03 0:00,83.28,1.91,760.12379
2024-01-03 1:00,87.26,1.82,759.86804
2024-01-03 2:00,87.91,1.57,760.01197
2024-01-03 3:00,87.11,1.67,759.72234
2024-01-03 4:00,84.73,1.78,759.27657
2024-01-03 5:00,83.86,1.69,758.94665
2024-01-03 6:00,87.52,1.74,758.77770
2024-01-03 7:00,84.98,1.79,759.02602
2024-01-03 8:00,87.08,1.84,759.21598
2024-01-03 9:00,83.46,2.04,759.47195
2024-01-03 10:00,76.41,2.85,759.36408
2024-01-03 11:00,64.57,4.52,758.84284
2024-01-03 12:00,62.14,5.73,758.30194
2024-01-03 13:00,64.15,5.73,758.07867
2024-01-03 14:00,72.16,5.12,758.02345
2024-01-03 15:00,70.90,5.64,758.08744
2024-01-03 16:00,78.92,4.83,758.60361
2024-01-03 17:00,76.45,4.38,759.00810
2024-01-03 18:00,80.02,4.15,759.77420
2024-01-03 19:00,82.06,3.13,760.22136
2024-01-03 20:00,83.91,2.45,760.71692
2024-01-03 21:00,78.23,2.24,761.12839
2024-01-03 22:00,77.46,1.72,761.38831
2024-01-03 23:00,84.36,0.68,761.46837
2024-01-04 0:00,88.88,-0.16,761.64838
2024-01-04 1:00,90.50,-0.56,761.73295
2024-01-04 2:00,90.74,-1.22,761.83548
2024-01-04 3:00,92.10,-1.92,761.86281
2024-01-04 4:00,94.61,-2.27,761.93871
2024-01-04 5:00,95.13,-2.72,762.14289
2024-01-04 6:00,94.90,-3.24,762.47755
2024-01-04 7:00,95.33,-3.32,762.72054
2024-01-04 8:00,95.91,-3.13,763.09727
2024-01-04 9:00,96.10,-2.64,763.48137
2024-01-04 10:00,95.59,-1.56,763.38461
2024-01-04 11:00,93.18,0.20,763.15348
2024-01-04 12:00,79.26,2.06,762.44576
2024-01-04 13:00,66.32,3.73,761.76741
2024-01-04 14:00,58.14,5.41,761.17093
2024-01-04 15:00,55.61,5.99,760.95777
2024-01-04 16:00,56.47,5.89,761.06529
2024-01-04 17:00,60.38,5.35,761.09749
2024-01-04 18:00,63.88,4.40,760.93145
2024-01-04 19:00,71.31,2.96,760.91175
2024-01-04 20:00,76.75,1.64,760.81706
2024-01-04 21:00,78.37,1.21,760.53587
2024-01-04 22:00,77.87,1.49,760.51669
2024-01-04 23:00,83.47,1.25,760.45317
2024-01-05 0:00,83.55,1.24,760.50766
2024-01-05 1:00,84.47,1.38,760.57467
2024-01-05 2:00,83.36,1.54,760.48708
2024-01-05 3:00,86.74,1.24,760.38422
2024-01-05 4:00,85.14,1.25,760.17528
2024-01-05 5:00,85.55,1.43,760.15134
2024-01-05 6:00,85.52,1.85,760.22918
2024-01-05 7:00,84.78,2.87,760.40022
2024-01-05 8:00,85.01,3.86,760.59509
2024-01-05 9:00,77.08,6.58,760.92418
2024-01-05 10:00,75.04,7.05,761.17939
2024-01-05 11:00,72.96,7.66,760.85783
2024-01-05 12:00,70.67,8.39,760.19506
2024-01-05 13:00,67.58,9.32,759.60552
2024-01-05 14:00,65.44,9.89,759.23161
2024-01-05 15:00,63.96,10.13,759.11615
2024-01-05 16:00,66.84,9.81,759.14211
2024-01-05 17:00,65.49,9.58,759.33020
2024-01-05 18:00,63.41,8.99,759.60318
2024-01-05 19:00,65.31,8.40,759.83361
