기상관측일시,일사량(w/m^2),습도(%),절대습도,기온(degC),대기압(hPa)
2024-01-01 0:00,0,57.061,0.004,0.803,1008.5141
2024-01-01 1:00,0,58.348,0.004,1.141,1009.1519
2024-01-01 2:00,0,58.897,0.004,1.417,1009.56665
2024-01-01 3:00,0,58.438,0.004,1.498,1009.9046
2024-01-01 4:00,0,58.286,0.004,1.172,1010.04236
2024-01-01 5:00,0,58.146,0.004,0.798,1010.30457
2024-01-01 6:00,0,57.977,0.004,0.151,1010.5556
2024-01-01 7:00,0,58.165,0.004,0.584,1011.01355
2024-01-01 8:00,13.606,58.221,0.004,1.114,1011.52454
2024-01-01 9:00,90.274,56.252,0.004,1.957,1012.0055
2024-01-01 10:00,196.559,53.614,0.004,4.012,1012.16907
2024-01-01 11:00,323.784,49.063,0.004,6.422,1011.9602
2024-01-01 12:00,406.362,44.836,0.004,8.701,1011.479
2024-01-01 13:00,400.21,40.803,0.004,8.543,1010.7994
2024-01-01 14:00,341.943,39.686,0.004,8.206,1010.36255
2024-01-01 15:00,232.582,37.836,0.004,7.361,1010.08075
2024-01-01 16:00,118.31,39.139,0.004,6.191,1009.9735
2024-01-01 17:00,28.275,47.112,0.004,4.525,1009.8001
2024-01-01 18:00,0,47.851,0.004,3.188,1009.66345
2024-01-01 19:00,0,49.699,0.004,3.038,1009.4491
2024-01-01 20:00,0,49.094,0.004,2.849,1009.3212
2024-01-01 21:00,0,48.927,0.004,2.719,1009.2812
2024-01-01 22:00,0,50.936,0.004,2.792,1009.0353
2024-01-01 23:00,0,53.171,0.004,2.857,1008.81335
2024-01-02 0:00,0,54.9,0.004,2.66,1008.60614
2024-01-02 1:00,0,55.342,0.004,2.628,1008.3319
2024-01-02 2:00,0,55.905,0.004,2.482,1008.03455
2024-01-02 3:00,0,57.363,0.004,2.219,1007.7849
2024-01-02 4:00,0,57.57,0.004,2.356,1007.3309
2024-01-02 5:00,0,55.849,0.004,2.291,1006.98035
2024-01-02 6:00,0,57.957,0.004,2.098,1006.8194
2024-01-02 7:00,0,59.678,0.004,2.514,1006.8282
2024-01-02 8:00,12.347,61.158,0.004,2.824,1006.9481
2024-01-02 9:00,53.99,60.819,0.004,3.515,1006.9912
2024-01-02 10:00,92.404,58.608,0.004,4.342,1006.72003
2024-01-02 11:00,123.571,56.145,0.004,5.257,1006.273
2024-01-02 12:00,164.692,53.057,0.004,5.96,1005.69666
2024-01-02 13:00,190.936,50.371,0.004,5.843,1005.05255
2024-01-02 14:00,219.904,47.76,0.004,6.582,1004.57697
2024-01-02 15:00,158.263,46.105,0.004,5.847,1004.23303
2024-01-02 16:00,99.349,45.915,0.004,4.795,1004.19525
2024-01-02 17:00,22.78,52.575,0.004,3.521,1004.1353
2024-01-02 18:00,0,54.135,0.004,2.542,1004.1494
2024-01-02 19:00,0,53.938,0.004,2.524,1004.235
2024-01-02 20:00,0,55.288,0.004,2.041,1004.2146
2024-01-02 21:00,0,54.386,0.004,2.09,1004.1904
2024-01-02 22:00,0,56.161,0.004,1.692,1004.0626
2024-01-02 23:00,0,56.797,0.004,1.493,1004.0138
2024-01-03 0:00,0,56.96,0.004,1.356,1003.9322
2024-01-03 1:00,0,63.793,0.004,1.986,1003.4203
2024-01-03 2:00,0,64.917,0.004,1.998,1003.2347
2024-01-03 3:00,0,65.663,0.004,2.072,1002.92236
2024-01-03 4:00,0,64.391,0.004,1.904,1002.3563
2024-01-03 5:00,0,63.814,0.004,1.732,1001.83875
2024-01-03 6:00,0,62.092,0.004,1.649,1001.74805
2024-01-03 7:00,0,63.627,0.004,1.555,1001.93024
2024-01-03 8:00,13.492,63.257,0.004,2.003,1002.1387
2024-01-03 9:00,88.261,61.289,0.004,2.785,1002.30566
2024-01-03 10:00,157.284,56.552,0.004,4.168,1002.107
2024-01-03 11:00,219.273,52.816,0.004,4.875,1001.796
2024-01-03 12:00,226.233,46.652,0.004,5.567,1001.12555
2024-01-03 13:00,234.144,44.034,0.004,5.568,1000.5979
2024-01-03 14:00,222.451,43.5,0.004,5.492,1000.4116
2024-01-03 15:00,193.526,41.21,0.003,5.412,1000.404
2024-01-03 16:00,110.679,42.13,0.004,4.475,1000.7855
2024-01-03 17:00,23.137,48.01,0.004,3.357,1001.2645
2024-01-03 18:00,0,49.871,0.004,2.314,1001.9002
2024-01-03 19:00,0,52.475,0.004,1.802,1002.53033
2024-01-03 20:00,0,49.69,0.004,1.117,1003.046
2024-01-03 21:00,0,48.199,0.003,0.304,1003.4074
2024-01-03 22:00,0,47.846,0.003,-0.027,1003.82263
2024-01-03 23:00,0,47.673,0.003,-0.236,1004.2691
2024-01-04 0:00,0,47.617,0.003,-0.424,1004.5166
2024-01-04 1:00,0,50.965,0.003,-0.709,1004.96655
2024-01-04 2:00,0,50.889,0.003,-1.187,1005.1246
2024-01-04 3:00,0,51.176,0.003,-1.636,1005.2974
2024-01-04 4:00,0,51.957,0.003,-1.87,1005.3741
2024-01-04 5:00,0,52.48,0.003,-2.113,1005.59875
2024-01-04 6:00,0,52.623,0.003,-2.302,1005.9559
2024-01-04 7:00,0,52.788,0.003,-1.796,1006.4511
2024-01-04 8:00,13.438,52.611,0.003,-1.124,1006.8271
2024-01-04 9:00,130.608,50.758,0.003,0.67,1007.04504
2024-01-04 10:00,279.538,48.686,0.003,3.253,1006.9448
2024-01-04 11:00,398.879,44.161,0.003,5.738,1006.7005
2024-01-04 12:00,460.746,41.242,0.003,7.929,1006.29755
2024-01-04 13:00,451.654,38.497,0.003,7.935,1005.81714
2024-01-04 14:00,385.693,37.048,0.003,7.62,1005.4521
2024-01-04 15:00,277.185,37.36,0.003,7.074,1005.07825
