datetime,일사량(w/m^2)_예측,습도(%)_예측,절대습도_예측,기온(degC)_예측,대기압(mmHg)_예측,습도(%)_관측,기온(degC)_관측,대기압(mmHg)_관측
2024-01-01 00:00:00,0.0,57.061,0.004,0.803,756.4481028742,85.23,3.82,764.46793
2024-01-01 01:00:00,0.0,58.348,0.004,1.141,756.9264924178,86.75,3.76,764.68855
2024-01-01 02:00:00,0.0,58.897,0.004,1.417,757.2375806323,86.43,3.04,765.05595
2024-01-01 03:00:00,0.0,58.438,0.004,1.498,757.4910640851999,90.6,1.99,765.42151
2024-01-01 04:00:00,0.0,58.286,0.004,1.172,757.59439262632,92.59,1.25,765.61559
2024-01-01 05:00:00,0.0,58.146,0.004,0.798,757.79106638334,94.59,0.9,765.71106
2024-01-01 06:00:00,0.0,57.977,0.004,0.151,757.9793544472001,96.9,0.96,766.05343
2024-01-01 07:00:00,0.0,58.165,0.004,0.584,758.3228453401,97.76,1.02,766.31235
2024-01-01 08:00:00,13.606,58.221,0.004,1.114,758.70611952148,97.49,0.94,766.58237
2024-01-01 09:00:00,90.274,56.252,0.004,1.957,759.066869341,97.44,0.95,766.87975
2024-01-01 10:00:00,196.559,53.614,0.004,4.012,759.18955698234,96.37,1.17,767.10126
2024-01-01 11:00:00,323.784,49.063,0.004,6.422,759.0328915324,92.29,2.27,766.80554
2024-01-01 12:00:00,406.362,44.836,0.004,8.701,758.671961698,87.19,3.37,766.07193
2024-01-01 13:00:00,400.21,40.803,0.004,8.543,758.1622195628,79.48,4.77,765.18644
2024-01-01 14:00:00,341.943,39.686,0.004,8.206,757.8345549781001,71.55,6.18,764.78985
2024-01-01 15:00:00,232.582,37.836,0.004,7.361,757.6231875065,59.93,7.38,764.47833
2024-01-01 16:00:00,118.31,39.139,0.004,6.191,757.542743357,58.71,7.54,764.17004
2024-01-01 17:00:00,28.275,47.112,0.004,4.525,757.4126826062001,60.8,7.25,764.06865
2024-01-01 18:00:00,0.0,47.851,0.004,3.188,757.3101866339,66.4,6.68,763.88045
2024-01-01 19:00:00,0.0,49.699,0.004,3.038,757.1494108442,70.28,6.02,763.82307
2024-01-01 20:00:00,0.0,49.094,0.004,2.849,757.0534779144,72.51,5.49,763.79826
2024-01-01 21:00:00,0.0,48.927,0.004,2.719,757.0234754344,74.92,5.29,763.86446
2024-01-01 22:00:00,0.0,50.936,0.004,2.792,756.8390351886001,76.57,5.28,763.98609
