iter	RMSE
0	10.19225443
1	9.476820974
2	8.799597303
3	8.17792733
4	7.598179371
5	7.060508108
6	6.579612851
7	6.118558765
8	5.694508907
9	5.315828654
10	4.959702143
11	4.633506734
12	4.333840669
13	4.050153582
14	3.786218698
15	3.53905623
16	3.316018732
17	3.101166992
18	2.910597527
19	2.72611172
20	2.561184363
21	2.407156103
22	2.264815377
23	2.134396791
24	2.017735177
25	1.913297929
26	1.808564161
27	1.716950917
28	1.63453593
29	1.558273603
30	1.486866088
31	1.419203025
32	1.361470166
33	1.30744233
34	1.25634019
35	1.212210751
36	1.170168497
37	1.131072537
38	1.095359989
39	1.065938557
40	1.040229652
41	1.014557785
42	0.9934406336
43	0.9734312078
44	0.9558593746
45	0.9400845908
46	0.9261228561
47	0.9109948005
48	0.8973292976
49	0.885276496
50	0.8745332659
51	0.8646441227
52	0.8562474289
53	0.8485135443
54	0.8412374755
55	0.8335978481
56	0.8265078326
57	0.8214785031
58	0.8159912875
59	0.8116324343
60	0.8081128496
61	0.8038548096
62	0.8001711756
63	0.796036861
64	0.7923937666
65	0.7885363678
66	0.7849248697
67	0.7813762242
68	0.778976749
69	0.7767711183
70	0.7735901608
71	0.7715697333
72	0.768609535
73	0.7669387108
74	0.7650456705
75	0.7639441414
76	0.7613464887
77	0.7605406218
78	0.7590755929
79	0.7562784267
80	0.7543455172
81	0.7533939541
82	0.7520004452
83	0.7505236981
84	0.7482508407
85	0.7465149649
86	0.7439405506
87	0.742369392
88	0.741043614
89	0.7389932104
90	0.7361010565
91	0.7337672582
92	0.7324305682
93	0.7315050896
94	0.7288574625
95	0.7281356771
96	0.7269914199
97	0.7255275864
98	0.7232755426
99	0.7222046056
100	0.7203080809
101	0.7186519096
102	0.7174143018
103	0.7157607642
104	0.7144095644
105	0.7125820394
106	0.7111598502
107	0.7097822311
108	0.7089704111
109	0.7073690247
110	0.706018807
111	0.7046319547
112	0.7036776585
113	0.7027177475
114	0.7017009693
115	0.7003987074
116	0.6996136136
117	0.6974897656
118	0.6963915105
119	0.6951674037
120	0.694417015
121	0.6924846688
122	0.6917122972
123	0.6906199114
124	0.6901771479
125	0.6883456369
126	0.6874848247
127	0.6862988904
128	0.6848603339
129	0.6837652661
130	0.6832335
131	0.6820672535
132	0.6808629975
133	0.680212654
134	0.6790661861
135	0.6779433563
136	0.6765907949
137	0.6761296451
138	0.6750995927
139	0.6737546685
140	0.6720520461
141	0.6712458295
142	0.6705565316
143	0.66849171
144	0.6670121279
145	0.6664596057
146	0.6652126028
147	0.6634034683
148	0.6624942335
149	0.661537017
150	0.6601489365
151	0.6590186445
152	0.6582380047
153	0.6564855685
154	0.6554309837
155	0.6538628314
156	0.6530972442
157	0.6521183928
158	0.6505516833
159	0.6492435877
160	0.6483761495
161	0.6470589846
162	0.6461811086
163	0.6446006783
164	0.6436930606
165	0.6427004918
166	0.6419985379
167	0.641455342
168	0.640715779
169	0.6396075039
170	0.6384980989
171	0.6378188819
172	0.6367257446
173	0.6357999817
174	0.6348697488
175	0.6340493763
176	0.6330590589
177	0.6323121589
178	0.631744578
179	0.6310723606
180	0.6306231429
181	0.6293802977
182	0.6284075355
183	0.627998789
184	0.6270921555
185	0.6259168146
186	0.6251707795
187	0.6244486295
188	0.6238385731
189	0.623224947
190	0.6226537909
191	0.6220988374
192	0.6209700991
193	0.6206654746
194	0.6198016618
195	0.6185020218
196	0.6179942316
197	0.6171385917
198	0.6166140964
199	0.616232168
200	0.6152783565
201	0.6140628007
202	0.6134939
203	0.6128927382
204	0.6120556116
205	0.6104488377
206	0.6097797031
207	0.6089628053
208	0.6080274135
209	0.6077418986
210	0.6067353152
211	0.6060958512
212	0.605716843
213	0.604937271
214	0.6037802643
215	0.6028622393
216	0.6017125757
217	0.6009414462
218	0.6001773518
219	0.59929526
220	0.5987828123
221	0.5983209126
222	0.597687452
223	0.5966287116
224	0.5960631431
225	0.5954253313
226	0.5948727693
227	0.5944178342
228	0.5933552435
229	0.5930474356
230	0.5925916039
231	0.5922540711
232	0.5913643859
233	0.5910983428
234	0.5900417283
235	0.5893222372
236	0.5887745585
237	0.5884014769
238	0.5879370281
239	0.5872167486
240	0.5866774492
241	0.5861835358
242	0.5852684495
243	0.5846938483
244	0.5835636343
245	0.5830133536
246	0.5826632671
247	0.5818209211
