iter	Passed	Remaining
0	0	866
1	1	811
2	2	793
3	3	801
4	4	816
5	5	804
6	5	785
7	6	772
8	7	764
9	7	757
10	8	755
11	9	761
12	10	758
13	11	756
14	11	753
15	12	748
16	13	745
17	14	740
18	14	738
19	15	737
20	16	738
21	17	736
22	17	737
23	18	734
24	19	731
25	20	729
26	20	728
27	21	727
28	22	727
29	23	724
30	23	721
31	24	722
32	25	720
33	26	717
34	26	715
35	27	712
36	28	715
37	29	713
38	30	716
39	30	715
40	31	714
41	32	713
42	33	712
43	33	711
44	34	713
45	35	712
46	36	711
47	37	709
48	37	707
49	38	707
50	39	706
51	40	707
52	41	710
53	42	710
54	42	710
55	43	709
56	44	708
57	45	708
58	45	706
59	46	706
60	47	706
61	48	706
62	49	706
63	50	705
64	50	704
65	51	704
66	52	705
67	53	706
68	54	707
69	55	705
70	55	704
71	56	703
72	57	704
73	58	703
74	59	702
75	59	702
76	60	701
77	61	700
78	62	699
79	63	699
80	63	698
81	64	697
82	65	696
83	66	700
84	67	699
85	68	698
86	69	698
87	69	697
88	70	696
89	71	695
90	72	695
91	73	695
92	73	694
93	74	694
94	75	693
95	76	691
96	77	690
97	77	689
98	78	689
99	79	689
100	80	689
101	81	688
102	81	687
103	82	687
104	83	686
105	84	685
106	85	685
107	86	684
108	86	683
109	87	683
110	88	682
111	89	680
112	89	680
113	90	679
114	91	681
115	92	680
116	93	679
117	94	678
118	95	677
119	95	676
120	96	675
121	97	675
122	98	674
123	99	674
124	99	673
125	100	672
126	101	671
127	102	670
128	103	669
129	103	668
130	104	667
131	105	666
132	106	667
133	107	666
134	108	666
135	109	666
136	110	668
137	111	667
138	111	667
139	112	665
140	113	664
141	114	663
142	115	663
143	115	662
144	116	663
145	117	661
146	118	661
147	119	661
148	120	660
149	121	663
150	123	665
151	123	664
152	124	663
153	125	663
154	126	663
155	127	662
156	128	662
157	130	667
158	131	666
159	131	665
160	132	664
161	133	664
162	134	663
163	135	664
164	136	664
165	137	663
166	138	662
167	139	661
168	140	661
169	140	660
170	141	660
171	142	659
172	143	659
173	144	658
174	145	657
175	146	657
176	147	656
177	148	656
178	149	656
179	150	656
180	151	655
181	151	655
182	152	654
183	153	653
184	154	654
185	155	653
186	156	653
187	157	652
188	158	651
189	159	650
190	160	650
191	161	649
192	161	648
193	162	648
194	163	647
195	164	647
196	165	646
197	166	646
198	167	647
199	168	647
200	169	646
201	170	646
202	171	646
203	172	645
204	174	646
205	175	646
206	175	646
207	177	645
208	177	645
209	178	644
210	179	644
211	180	643
212	181	642
213	182	642
214	183	641
215	184	641
216	185	640
217	186	640
218	187	639
219	188	639
220	189	638
221	189	637
222	190	636
223	191	636
224	193	636
225	194	636
226	195	636
227	196	635
228	197	634
229	197	633
230	198	633
231	199	632
232	200	631
233	201	630
234	202	629
235	202	628
236	203	627
237	204	626
238	205	626
239	206	625
240	207	624
241	208	623
242	209	622
243	209	621
244	210	620
245	211	619
246	212	619
247	213	618
248	214	617
249	215	616
250	215	615
251	216	614
252	217	614
253	218	613
254	219	612
255	220	611
256	220	610
257	221	609
258	222	608
259	223	606
260	224	606
261	224	605
262	225	604
263	226	602
264	227	601
265	227	600
266	228	599
267	229	598
268	230	598
269	231	597
270	232	596
271	233	595
272	233	594
273	234	593
274	235	592
275	236	591
276	237	591
277	238	590
278	238	589
279	239	588
280	240	587
281	241	586
282	242	584
283	243	584
284	243	583
285	244	582
